Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-130.112,-019.887,+008.294,+0.093,+0.666,+2.378,-03.1860,-01.2970,-08.7770,-00.000570,+00.001253,+00.001110
-130.112,-019.883,+008.291,+0.093,+0.696,+2.378,-03.1860,-01.3130,-08.7760,-00.002006,+00.001399,+00.000356
-130.111,-019.878,+008.289,+0.103,+0.676,+2.379,-03.1900,-01.2760,-08.8190,-00.001633,+00.002257,+00.000988
-130.110,-019.877,+008.286,+0.098,+0.671,+2.395,-03.2170,-01.2990,-08.8280,-00.002821,+00.001292,-00.000498
-130.109,-019.876,+008.285,+0.098,+0.706,+2.362,-03.2170,-01.2750,-08.7800,-00.001179,+00.000582,+00.001082
-130.110,-019.875,+008.285,+0.093,+0.671,+2.368,-03.2150,-01.2930,-08.7960,-00.000978,+00.003746,+00.000666
-130.110,-019.873,+008.282,+0.093,+0.686,+2.384,-03.2190,-01.2860,-08.7510,-00.001728,+00.001864,+00.001523
-130.108,-019.870,+008.281,+0.093,+0.721,+2.356,-03.1950,-01.2780,-08.7850,-00.000609,+00.001609,+00.002049
-130.106,-019.870,+008.280,+0.093,+0.671,+2.357,-03.2140,-01.2970,-08.7540,-00.000789,+00.000673,+00.001984
-130.106,-019.870,+008.279,+0.093,+0.666,+2.373,-03.2340,-01.2550,-08.7910,+00.000476,+00.000947,+00.000333
-130.107,-019.870,+008.281,+0.103,+0.696,+2.373,-03.2100,-01.2960,-08.7760,+00.001745,+00.001651,+00.000126
-130.107,-019.866,+008.282,+0.084,+0.681,+2.362,-03.1860,-01.2880,-08.8070,+00.001248,+00.000407,+00.001047
-130.103,-019.864,+008.281,+0.093,+0.681,+2.411,-03.2050,-01.2450,-08.7730,+00.001332,-00.001268,+00.004041
-130.102,-019.864,+008.280,+0.098,+0.681,+2.362,-03.1970,-01.2790,-08.7640,-00.000268,+00.000389,+00.000564
-130.101,-019.866,+008.280,+0.093,+0.691,+2.378,-03.1850,-01.1340,-08.8260,+00.005429,-00.000164,+00.003292
-130.099,-019.867,+008.281,+0.098,+0.681,+2.389,-03.2050,-01.3050,-08.7810,+00.001703,-00.001456,+00.000617
-130.099,-019.869,+008.282,+0.098,+0.686,+2.373,-03.1990,-01.2960,-08.7860,+00.000621,-00.001527,+00.000949
-130.097,-019.870,+008.280,+0.084,+0.671,+2.373,-03.2130,-01.2530,-08.8150,-00.000712,-00.000886,+00.004017
-130.095,-019.871,+008.279,+0.098,+0.676,+2.389,-03.1820,-01.2920,-08.8070,-00.000163,+00.000717,+00.002867
-130.093,-019.873,+008.279,+0.093,+0.681,+2.357,-03.2220,-01.2570,-08.7330,+00.001449,-00.001750,+00.001732
-130.091,-019.876,+008.279,+0.103,+0.681,+2.363,-03.2060,-01.2840,-08.8170,+00.001297,-00.002526,+00.004289
-130.089,-019.878,+008.279,+0.098,+0.662,+2.400,-03.1810,-01.2870,-08.7770,+00.001696,-00.001542,+00.003487
